bbox,text,confidence
0,"[[0, 0], [np.int32(75), 0], [np.int32(75), np.int32(37)], [0, np.int32(37)]]",9.10,0.9999972581863403
1,"[[np.int32(1), np.int32(39)], [np.int32(75), np.int32(39)], [np.int32(75), np.int32(75)], [np.int32(1), np.int32(75)]]",5.80,0.7368982423031029
2,"[[0, np.int32(85)], [np.int32(75), np.int32(85)], [np.int32(75), np.int32(123)], [0, np.int32(123)]]",2.97,0.5900734750847104
3,"[[0, np.int32(121)], [np.int32(73), np.int32(121)], [np.int32(73), np.int32(159)], [0, np.int32(159)]]",2.44,0.9994588657633046
4,"[[np.int32(3), np.int32(161)], [np.int32(75), np.int32(161)], [np.int32(75), 198], [np.int32(3), 198]]",1.94,0.9999839067459106
