bbox,text,confidence
0,"[[0, 0], [np.int32(75), 0], [np.int32(75), np.int32(35)], [0, np.int32(35)]]",8.70,0.9999819993972778
1,"[[np.int32(1), np.int32(39)], [np.int32(75), np.int32(39)], [np.int32(75), np.int32(75)], [np.int32(1), np.int32(75)]]",5.60,0.9836255208320761
2,"[[np.int32(1), np.int32(85)], [np.int32(75), np.int32(85)], [np.int32(75), np.int32(123)], [np.int32(1), np.int32(123)]]",3.55,0.9999513626098633
3,"[[0, np.int32(121)], [np.int32(75), np.int32(121)], [np.int32(75), np.int32(159)], [0, np.int32(159)]]",2.42,0.9980537705995658
4,"[[np.int32(3), np.int32(161)], [np.int32(75), np.int32(161)], [np.int32(75), 198], [np.int32(3), 198]]",1.90,0.9999868869781494
